dateCollect,indexStockExchange,stockAction,vMax,vMin,vOpen,variation
2022-10-26 15:52:18.234916,CREDIT AGRICOLE SA,9.085,9.142,9.044,9.111,-0.10%
2022-10-26 15:52:18.252052,AIR LIQUIDE,132.560,134.220,131.280,132.800,+0.05%
2022-10-26 15:52:18.310424,HERMES INTL,1 350.000,1 374.000,1 342.000,1 355.500,-0.33%
2022-10-26 15:52:18.328649,AIRBUS,105.720,105.880,104.300,104.360,+1.60%
2022-10-26 15:52:18.345869,RENAULT,31.820,32.200,31.500,31.700,-0.06%
2022-10-26 15:52:18.364931,ALSTOM,20.060,20.090,19.230,19.240,+4.21%
2022-10-26 15:52:18.384856,SAFRAN,112.320,112.740,110.100,110.200,+1.79%
2022-10-26 15:52:18.405464,DANONE,48.175,48.565,47.685,48.455,-0.84%
2022-10-26 15:52:18.428086,SANOFI,83.270,83.310,82.330,82.700,+1.19%
2022-10-26 15:52:18.449195,BNP PARIBAS,47.280,47.650,47.030,47.445,-0.12%
2022-10-26 15:52:18.468421,SAINT-GOBAIN,41.670,42.105,41.405,41.425,+0.43%
2022-10-26 15:52:18.487866,CARREFOUR,15.330,15.595,15.175,15.535,-1.35%
2022-10-26 15:52:18.507296,STELLANTIS,13.546,13.608,13.400,13.496,+0.10%
2022-10-26 15:52:18.524794,CAPGEMINI,173.200,175.400,171.850,171.900,+0.12%
2022-10-26 15:52:18.541985,STMICROELECTRONICS,34.075,34.670,33.930,34.195,-3.14%
2022-10-26 15:52:18.558732,AXA,24.880,25.035,24.755,24.910,-0.36%
2022-10-26 15:52:18.575288,SCHNEIDER ELECTRIC,132.640,133.660,131.300,131.380,+1.02%
2022-10-26 15:52:18.592697,VINCI,91.810,92.270,91.080,91.620,+1.80%
2022-10-26 15:52:18.610613,TELEPERFORMANCE,273.100,275.600,271.100,274.000,-0.62%
2022-10-26 15:52:18.628299,DASSAULT SYSTEMES,34.500,35.795,34.235,35.340,-5.93%
2022-10-26 15:52:18.648034,TOTALENERGIES,52.960,53.370,52.410,53.000,-0.54%
2022-10-26 15:52:18.669449,ESSILORLUXOTTICA,164.800,166.950,164.000,164.850,-0.12%
2022-10-26 15:52:18.689762,VEOLIA,22.480,23.070,22.470,22.730,-1.10%
2022-10-26 15:52:18.709836,BOUYGUES,28.520,28.540,28.020,28.190,+1.39%
2022-10-26 15:52:18.728777,VIVENDI,8.210,8.296,8.164,8.296,-1.32%
2022-10-26 15:52:18.747271,ENGIE,13.044,13.130,12.974,13.030,+0.02%
2022-10-26 15:52:18.766425,WORLDLINE,44.390,44.740,43.300,43.670,+1.42%
2022-10-26 15:52:18.788774,EUROFINS SCIENTIFIC,65.140,65.260,64.020,64.820,+0.25%
2022-10-26 15:52:18.810187,SOCIETE GENERALE,23.175,23.470,23.155,23.375,-0.41%
2022-10-26 15:52:18.828686,THALES,125.350,126.000,122.150,122.250,+3.08%
2022-10-26 15:52:18.848176,KERING,473.400,476.250,470.250,472.750,+0.21%
2022-10-26 15:52:18.868142,LEGRAND,78.220,78.360,76.100,76.260,+2.33%
2022-10-26 15:52:18.887013,LVMH,653.100,663.600,651.100,659.400,-0.74%
2022-10-26 15:52:18.907511,MICHELIN,24.840,24.850,23.700,23.700,-2.70%
2022-10-26 15:52:18.927796,L'OREAL,318.450,322.900,318.100,321.400,-0.99%
2022-10-26 15:52:18.946177,ORANGE,9.466,9.514,9.378,9.420,+0.65%
2022-10-26 15:52:18.966187,PUBLICIS GROUPE,57.020,58.560,57.000,58.560,-2.63%
2022-10-26 15:52:18.993846,PERNOD RICARD,174.650,177.050,173.050,176.900,-1.63%
